501d.93f8.8c27	Eth-Trunk1     
0021.9415.78f0	Eth-Trunk10    
1c59.9ba2.3c20	Eth-Trunk1     
ecf0.feed.1c80	Eth-Trunk1     
3872.c022.54a0	Eth-Trunk10    
b0ac.d21d.3a93	Eth-Trunk10    
b08b.cff5.e8c0	Eth-Trunk1     
b0ac.d21d.5f37	Eth-Trunk10    
0021.941f.f488	Eth-Trunk10    
b0ac.d266.1c63	Eth-Trunk10    
9813.334c.9e70	Eth-Trunk10    
ec4d.4773.9291	Eth-Trunk1     
b0ac.d21e.2e23	Eth-Trunk10    
0014.7f36.7114	Eth-Trunk10    
f098.3878.1629	Eth-Trunk1     
8c68.c891.4d4c	Eth-Trunk1     
001f.9f74.1fee	Eth-Trunk1     
0021.9417.bd4a	Eth-Trunk10    
f88e.85a0.5f06	Eth-Trunk10    
0026.4466.ee8a	Eth-Trunk10    
b0ac.d21e.5097	Eth-Trunk1     
1c59.9ba2.381d	Eth-Trunk10    
d060.8c0d.ff90	Eth-Trunk10    
9813.334c.a2cc	Eth-Trunk10    
4482.e516.58dc	Eth-Trunk1     
0021.940b.88a8	Eth-Trunk1     
0021.942d.1fcc	Eth-Trunk1     
0021.942d.0784	Eth-Trunk10    
000e.50fd.0858	Eth-Trunk10    
807d.14d9.84c5	Eth-Trunk10    
0021.942b.678c	Eth-Trunk10    
b0ac.d266.fda3	Eth-Trunk10    
3872.c084.7225	Eth-Trunk10    
3091.8f0b.50c6	Eth-Trunk10    
0021.9423.47d6	Eth-Trunk10    
0021.940a.6b36	Eth-Trunk10    
b0ac.d266.fc4f	Eth-Trunk10    
0021.942c.1d84	Eth-Trunk10    
0024.1793.f668	Eth-Trunk10    
0014.7ff3.5ed7	Eth-Trunk1     
5078.b398.e764	Eth-Trunk10    
5078.b398.8fd4	Eth-Trunk10    
1c59.9ba2.89c5	Eth-Trunk1     
b0ac.d21d.3f0f	Eth-Trunk10    
ecf0.feec.e978	Eth-Trunk10    
0021.9434.8e67	Eth-Trunk1     
60de.f3c6.e7cb	Eth-Trunk1     
8c68.c8a5.dcfc	Eth-Trunk10    
b443.2673.128e	Eth-Trunk1     
ecf0.feed.6b50	Eth-Trunk1     
1c59.9ba2.3f39	Eth-Trunk10    
d060.8c0e.0f74	Eth-Trunk1     
0021.9434.9bf3	Eth-Trunk10    
b0ac.d221.1e4f	Eth-Trunk10    
0021.941e.3ba6	Eth-Trunk10    
7c39.53f8.d2df	Eth-Trunk1     
3099.3597.5acb	Eth-Trunk10    
3091.8f0b.6f4c	Eth-Trunk10    
646d.6c6d.f102	Eth-Trunk10    
0021.940a.6800	Eth-Trunk10    
f02f.a7c3.0897	Eth-Trunk1     
