0021.9422.e2a2	Gi4/0/5        
3872.c015.ede3	Gi4/0/2        
7081.0570.5980	100GE7/0/0     
2c54.2d97.eb81	Eth-Trunk2     
fc5b.39c2.8620	100GE7/0/0     
0021.9423.b358	Gi4/0/5        
10b3.d6ea.9b00	100GE7/0/0     
00d0.d660.59c6	100GE7/0/0     
7c39.53f8.f3d7	Gi6/0/4        
0090.e82d.b4f6	100GE7/0/0     
28c7.ceac.7a35	100GE7/0/0     
0021.9424.98fc	Gi4/0/5        
f88e.859e.dffa	Gi4/0/2        
00a0.26c6.49e9	Eth-Trunk2     
0024.1787.f446	Gi4/0/2        
f88e.85b2.5a87	Gi4/0/2        
a80c.0d91.f220	100GE7/0/0     
bcc4.939d.3240	Gi6/0/4        
1ed0.d65a.4e2c	Eth-Trunk2     
b0ac.d266.572f	100GE7/0/0     
9813.334c.4420	100GE7/0/0     
0020.d237.6973	100GE7/0/0     
f098.3877.f841	100GE7/0/0     
00d0.d650.2164	100GE7/0/0     
7858.601a.bca6	100GE7/0/0     
f898.efe7.539c	100GE7/0/0     
e00e.dac1.8860	Eth-Trunk2     
0020.d237.ab50	100GE7/0/0     
a8b1.d489.f030	100GE7/0/0     
0021.9433.cd77	Gi4/0/5        
881d.fc02.a220	100GE7/0/0     
0021.9417.a502	Gi4/0/2        
00d0.d610.69e8	100GE7/0/0     
f07f.0624.4800	100GE7/0/0     
b0ac.d21e.4fcb	100GE7/0/0     
183d.5e33.cd7d	Gi6/0/4        
0020.d237.6c7a	100GE7/0/0     
a0e0.aff2.4820	100GE7/0/0     
0020.d23f.a981	100GE7/0/0     
3872.c084.6910	Gi6/0/4        
d0ef.c171.ad5f	Gi6/0/4        
00e0.8e0c.a460	Gi4/0/3        
0020.d237.9685	100GE7/0/0     
0020.d237.b70a	100GE7/0/0     
3872.c016.1e08	Gi4/0/2        
0007.725a.1c8f	Gi4/0/2        
0021.940d.30b0	Gi4/0/2        
f479.6084.8e1f	Gi6/0/4        
0020.d237.83cd	100GE7/0/0     
0016.b5ca.5828	Gi4/0/10       
0020.d242.3c01	100GE7/0/0     
0021.9424.6890	Gi4/0/2        
d060.8c0e.0f74	Gi6/0/4        
0021.9433.cd6b	Gi4/0/1        
286f.7f61.bf20	100GE7/0/0     
7081.05d7.73a0	Eth-Trunk2     
0020.d242.35c3	100GE7/0/0     
00d0.d653.27f3	100GE7/0/0     
2065.8ef1.4d0e	Gi6/0/4        
b07d.47e7.2375	100GE7/0/0     
183d.5e33.cd7d	Gi6/0/4        
0025.9e98.da09	Gi6/0/4        
c471.fe10.f920	100GE7/0/0     
0021.9433.4845	Gi6/0/4        
3872.c003.01a4	Gi4/0/2        
0021.940b.4eac	Gi4/0/1        
0021.9415.76aa	Gi4/0/1        
0021.941d.ffc4	Gi4/0/5        
9c71.3ab4.5a91	100GE7/0/0     
3872.c003.12de	Gi4/0/2        
60de.f3c7.61ea	Gi6/0/4        
b443.2673.128e	100GE7/0/0     
0020.d237.860f	100GE7/0/0     
0020.d240.a0d0	100GE7/0/0     
0020.d23f.5526	Gi6/0/4        
00a0.0a10.b071	100GE7/0/0     
5489.980d.89ff	Gi6/0/4        
001d.e632.5b41	Gi6/0/4        
3ce8.241c.54a2	100GE7/0/0     
001b.d5a3.3941	Gi6/0/4        
501d.93f8.8d6f	Gi6/0/4        
d0ef.c15d.2f79	100GE7/0/0     
b07d.47e6.5c15	100GE7/0/0     
00d0.d653.274b	100GE7/0/0     
4c1f.ccec.df6e	100GE7/0/0     
0007.720e.96c9	Gi4/0/5        
0021.9431.537f	Gi6/0/4        
2c54.2da6.b3e0	100GE7/0/0     
001f.9f74.41e8	Gi4/0/5        
0020.d234.08e5	100GE7/0/0     
ec4d.4773.95ed	100GE7/0/0     
0021.9422.8b24	Gi4/0/5        
3456.fec4.fae5	100GE7/0/0     
0021.9433.c3bd	Gi4/0/1        
0002.ab12.cbc1	Gi6/0/4        
78ba.f9d1.2200	100GE7/0/0     
0002.ab12.cb52	Gi6/0/4        
0002.ab12.cbc9	Gi6/0/4        
7858.6006.2809	Gi6/0/4        
3091.8f0b.45fe	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0020.d23f.812b	100GE7/0/0     
0800.3e9b.af5a	Gi6/0/4        
f07f.0624.5640	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0021.9424.dc28	Gi6/0/4        
0018.827f.95fe	100GE7/0/0     
3872.c016.25bf	Gi4/0/2        
f098.3877.f18d	100GE7/0/0     
0020.d237.9ee2	100GE7/0/0     
60de.f3c6.2c0c	100GE7/0/0     
7c39.53f9.03d5	Gi6/0/4        
70ca.9b58.2550	100GE7/0/0     
