d060.8c0e.0f74	100GE7/0/0     
7081.0570.5981	Gi6/0/2        
7c39.53f9.03d5	100GE7/0/0     
c8a7.76d0.c4a7	Gi6/0/0        
0020.d237.8a5c	Gi6/0/2        
0021.9424.dc46	Gi6/0/1        
0002.ab11.0e50	100GE7/0/0     
0002.ab10.c07b	100GE7/0/0     
003a.7ddc.0e3f	100GE7/0/0     
745a.aa6d.bdfb	Gi6/0/0        
2065.8ef1.5fd5	Gi6/0/0        
b415.13f5.3232	Gi6/0/1        
d0d0.4bc9.56b3	Gi6/0/2        
a80c.0d91.f220	Gi4/0/5        
1051.722e.9183	Gi6/0/0        
2841.c6ab.3d6a	100GE7/0/0     
0021.941a.8f48	Gi6/0/0        
3400.a3e2.8390	100GE7/0/0     
0025.5c32.8980	Gi6/0/2        
0021.942c.a3ac	Gi4/0/2        
d46a.a871.c37a	Gi6/1/2        
3400.a348.d049	Gi6/0/0        
04fe.8dc0.347b	Gi6/0/2        
3ce8.241c.54a2	Gi6/0/2        
0021.9417.6dd0	100GE7/0/0     
00a0.26c6.4745	Gi6/0/2        
0020.d257.fcc9	100GE7/0/0     
0021.9410.c62c	100GE7/0/0     
346a.c2af.e7f7	Gi6/0/1        
2c97.b1e8.4cae	Gi6/1/2        
dc99.1428.cbc9	Gi6/1/2        
2065.8ef1.5fd5	Gi6/0/0        
e8bd.d163.2842	Eth-Trunk6     
dc99.1428.cbd6	Gi6/1/2        
28ff.3e21.fa9c	Gi6/0/1        
249e.abb8.a3ef	Gi6/0/0        
d0ef.c171.c1cd	Gi6/0/1        
0002.ab11.3d93	Gi6/0/2        
00a0.26c6.54e1	Gi6/0/2        
3ce8.241d.0a4e	Gi6/0/0        
20e8.82f4.00a0	Gi6/0/1        
f88e.85bb.b451	100GE7/0/0     
0020.d254.225a	Gi6/0/0        
0002.ab11.0e53	100GE7/0/0     
845b.1230.c51b	Gi6/0/0        
f479.6084.9ecf	Gi6/0/2        
649e.f39e.bec5	Gi6/1/2        
c8a7.76d0.c0a6	Gi6/1/3        
2065.8eb8.e913	Gi6/1/3        
745a.aa6d.bde9	Gi6/1/2        
0020.d257.90db	Gi6/0/2        
0002.ab10.20cb	Gi6/1/3        
0020.d237.9ee2	Gi4/0/2        
bcc4.939d.d0c0	100GE7/0/0     
0021.9424.9320	100GE7/0/0     
9813.334c.c8e4	Gi6/0/0        
e8bd.d163.26e2	Eth-Trunk6     
e8bd.d163.2717	Eth-Trunk6     
649e.f39e.bce5	100GE7/0/0     
0081.c4ed.fff8	Gi6/0/1        
9462.69f7.344c	Gi4/0/3        
0020.d258.6786	100GE7/0/0     
00a0.26c6.5b99	Gi6/0/2        
0021.9422.fe6e	Gi6/0/0        
e00e.dac1.8860	100GE7/0/0     
d0ef.c171.a876	Gi6/0/2        
