0021.9423.b42a	Gi0/2/5        
0021.9417.8eb8	Gi0/2/5        
0021.9412.7e5a	Gi0/2/5        
0021.9424.8c06	Gi0/2/5        
8c68.c8a5.df74	Gi0/2/5        
5489.9818.bcab	Gi0/2/5        
0021.942b.3e6a	Gi0/2/5        
0021.941d.95f2	Gi0/2/5        
0021.9423.5298	Gi0/2/5        
0021.940a.3f32	Gi0/2/5        
0026.44bf.ba0c	Gi0/2/4        
5489.9818.7128	Gi0/2/5        
78c1.a721.23d6	Gi0/2/4        
14a0.f885.fba1	Gi0/2/6        
807d.14e6.5bb0	Gi0/2/5        
0021.941a.c5d2	Gi0/2/6        
b0ac.d21e.2b57	Gi0/2/6        
14a0.f886.527d	Gi0/2/5        
001f.9f89.36d0	Gi0/2/5        
5489.9818.70ed	Gi0/2/4        
0021.9412.334e	Gi0/2/5        
3099.3597.a23b	Gi0/2/5        
9813.334c.ad08	Gi0/2/5        
ecf0.feec.e810	Gi0/2/5        
b0ac.d266.63cf	Gi0/2/5        
8c68.c891.8790	Gi0/2/5        
0021.9431.f30f	Gi0/2/5        
28ff.3e21.ce04	Gi0/2/5        
0021.9409.87d8	Gi0/2/6        
5078.b397.f91c	Gi0/2/6        
ecf0.feed.2700	Gi0/2/5        
d060.8c0e.0ec4	Gi0/2/5        
000e.50fd.0c8d	Gi0/2/6        
0020.d237.b87f	Gi0/2/4        
8c68.c8a5.de44	Gi0/2/6        
0021.9423.2d30	Gi0/2/5        
8c68.c8ab.40f8	Gi0/2/5        
d060.8c0d.3b80	Gi0/2/5        
0021.9409.6aa4	Gi0/2/5        
1c59.9ba2.6a08	Gi0/2/5        
0021.9424.6d64	Gi0/2/5        
0021.941e.14ac	Gi0/2/5        
1c59.9ba2.4510	Gi0/2/5        
3ce8.241c.54a2	Gi0/2/4        
5078.b399.3044	Gi0/2/5        
b0ac.d266.0e2b	Gi0/2/5        
d060.8c0d.7f1c	Gi0/2/5        
0024.17a9.208e	Gi0/2/5        
0021.941b.2e42	Gi0/2/5        
0021.941a.218c	Gi0/2/6        
d060.8c0d.f23c	Gi0/2/5        
b0ac.d266.29f7	Gi0/2/5        
0021.942b.64ce	Gi0/2/6        
b0ac.d266.a387	Gi0/2/5        
28ff.3e21.8f20	Gi0/2/5        
d060.8c0d.5c48	Gi0/2/5        
78c1.a722.1a2a	Gi0/2/6        
3099.3597.6fbb	Gi0/2/5        
8c68.c891.5b38	Gi0/2/6        
0021.9423.9066	Gi0/2/5        
7c39.53f8.f4c3	Gi0/2/5        
5078.b398.94ac	Gi0/2/5        
0024.1787.f446	Gi0/2/4        
0021.9431.535b	Gi0/2/5        
7c39.53f8.d67f	Gi0/2/5        
7c39.53f8.b6cf	Gi0/2/5        
0021.9410.3500	Gi0/2/6        
b0ac.d21d.6ee7	Gi0/2/6        
3091.8f04.51a8	Gi0/2/5        
b0ac.d266.7f1f	Gi0/2/5        
0021.942a.e4d6	Gi0/2/5        
b0ac.d266.572f	Gi0/2/4        
9813.334c.5728	Gi0/2/5        
0021.9424.b444	Gi0/2/5        
3872.c00b.8254	Gi0/2/5        
9813.334c.1208	Gi0/2/5        
0021.9431.fc33	Gi0/2/5        
5078.b398.39a4	Gi0/2/6        
d060.8c0e.0f76	Gi0/2/5        
0021.9409.ff2a	Gi0/2/5        
d060.8c0d.b8d4	Gi0/2/5        
0021.940c.5acc	Gi0/2/5        
0021.9431.fc2d	Gi0/2/5        
0020.d237.9685	Gi0/2/4        
5489.9818.bdb2	Gi0/2/4        
8c68.c8a6.1ed0	Gi0/2/6        
